Time name; timer [s/ps]
timePollSent;1806627.87
timePollAckReceived;1821436.87
timePollAckReceived;1923406.75
timeRangeSent;1938212.0
timeINO;3857.0
timePollSent;2010606.37
timePollAckReceived;2025408.12
timePollAckReceived;2127410.0
timeRangeSent;2142215.5
timeINO;4061.0
timePollSent;2214611.0
timePollAckReceived;2229413.25
timePollAckReceived;2331413.75
timeRangeSent;2346221.25
timeINO;4265.0
timePollSent;2418615.25
timePollAckReceived;2433415.75
timePollAckReceived;2535415.75
timeRangeSent;2550224.0
timeINO;4469.0
timePollSent;2622620.25
timePollAckReceived;2637422.0
timePollAckReceived;2739421.75
timeRangeSent;2754230.0
timeINO;4673.0
timePollSent;2826624.25
timePollAckReceived;2841423.75
timePollAckReceived;2943428.75
timeRangeSent;2958236.0
timeINO;4877.0
timePollSent;3030628.0
timePollAckReceived;3045433.75
timePollAckReceived;3147436.5
timeRangeSent;3162245.75
timeINO;5081.0
timePollSent;3234633.5
timePollAckReceived;3249440.0
timePollAckReceived;3351435.0
timeRangeSent;3366242.25
timeINO;5285.0
timePollSent;3438638.25
timePollAckReceived;3453442.75
timePollAckReceived;3555439.75
timeRangeSent;3570248.5
timeINO;5489.0
timePollSent;3642642.0
timePollAckReceived;3657442.75
timePollAckReceived;3759445.75
timeRangeSent;3774256.0
timeINO;5693.0
timePollSent;3948649.25
timePollAckReceived;3963450.75
timePollAckReceived;4065453.75
timeRangeSent;4080262.25
timeINO;5999.0
timePollSent;4152651.25
timePollAckReceived;4167454.75
timePollAckReceived;4269456.5
timeRangeSent;4284265.5
timeINO;6203.0
timePollSent;4356657.5
timePollAckReceived;4371461.0
timePollAckReceived;4473464.0
timeRangeSent;4488272.5
timeINO;6407.0
timePollSent;4560662.5
timePollAckReceived;4575466.0
timePollAckReceived;4677467.0
timeRangeSent;4692276.5
timeINO;6611.0
timePollSent;4764664.5
timePollAckReceived;4779467.5
timePollAckReceived;4881469.0
timeRangeSent;4896275.5
timeINO;6815.0
timePollSent;4968669.0
timePollAckReceived;4983470.5
timePollAckReceived;5085476.5
timeRangeSent;5100286.0
timeINO;7019.0
timePollSent;5172675.0
timePollAckReceived;5187478.0
timePollAckReceived;5289481.0
timeRangeSent;5304288.5
timeINO;7223.0
timePollSent;5376679.5
timePollAckReceived;5391481.5
timePollAckReceived;5493484.5
timeRangeSent;5508289.5
timeINO;7427.0
timePollSent;5580682.5
timePollAckReceived;5595485.0
timePollAckReceived;5697488.5
timeRangeSent;5712296.0
timeINO;7631.0
timePollSent;5784688.0
timePollAckReceived;5799490.5
timePollAckReceived;5901494.5
timeRangeSent;5916302.0
timeINO;7835.0
timePollSent;6090694.5
timePollAckReceived;6105498.5
timePollAckReceived;6207498.5
timeRangeSent;6222308.0
timeINO;8141.0
timePollSent;6294698.0
timePollAckReceived;6309502.5
timePollAckReceived;6411503.5
timeRangeSent;6426314.0
timeINO;8345.0
timePollSent;6498702.5
timePollAckReceived;6513507.0
timePollAckReceived;6615510.0
timeRangeSent;6630319.0
timeINO;8549.0
timePollSent;6702708.5
timePollAckReceived;6717514.0
timePollAckReceived;6819511.0
timeRangeSent;6834321.0
timeINO;8753.0
timePollSent;6906713.0
timePollAckReceived;6921517.5
timePollAckReceived;7023516.5
timeRangeSent;7038326.0
timeINO;8957.0
timePollSent;7110717.5
timePollAckReceived;7125520.0
timePollAckReceived;7227523.0
timeRangeSent;7242331.5
timeINO;9161.0
timePollSent;7314722.0
timePollAckReceived;7329525.0
timePollAckReceived;7431526.0
timeRangeSent;7446336.0
timeINO;9365.0
timePollSent;7518727.0
timePollAckReceived;7533526.0
timePollAckReceived;7635532.0
timeRangeSent;7650340.5
timeINO;9569.0
timePollSent;7722729.0
timePollAckReceived;7737534.0
timePollAckReceived;7839533.0
timeRangeSent;7854338.0
timeINO;9773.0
timePollSent;7926733.5
timePollAckReceived;7941536.0
timePollAckReceived;8043537.0
timeRangeSent;8058345.5
timeINO;9977.0
timePollSent;8232741.5
timePollAckReceived;8247545.0
timePollAckReceived;8349544.5
timeRangeSent;8364354.0
timeINO;10283.0
timePollSent;8436747.0
timePollAckReceived;8451548.0
timePollAckReceived;8655551.0
timeRangeSent;8670365.0
timeINO;10589.0
timePollSent;8742753.0
timePollAckReceived;8757554.0
timePollAckReceived;8859558.0
timeRangeSent;8874368.0
timeINO;10793.0
timePollSent;8946757.0
timePollAckReceived;8961562.0
timePollAckReceived;9063558.0
timeRangeSent;9078366.0
timeINO;10997.0
timePollSent;9150759.0
timePollAckReceived;9165561.0
timePollAckReceived;9267569.0
timeRangeSent;9282376.0
timeINO;11201.0
timePollSent;9354767.0
timePollAckReceived;9369569.0
timePollAckReceived;9471573.0
timeRangeSent;9486380.0
timeINO;11405.0
timePollSent;9558771.0
timePollAckReceived;9573573.0
timePollAckReceived;9675575.0
timeRangeSent;9690381.0
timeINO;11609.0
timePollSent;9762776.0
timePollAckReceived;9777579.0
timePollAckReceived;9879574.0
timeRangeSent;9894382.0
timeINO;11813.0
timePollSent;9966779.0
timePollAckReceived;9981582.0
timePollAckReceived;10083584.0
timeRangeSent;10098392.0
timeINO;12017.0
timePollSent;10170783.0
timePollAckReceived;10185586.0
timePollAckReceived;10389589.0
timeRangeSent;10404398.0
timeINO;12323.0
timePollSent;10476790.0
timePollAckReceived;10491594.0
timePollAckReceived;10695600.0
timeRangeSent;10710406.0
timeINO;12629.0
timePollSent;10782797.0
timePollAckReceived;10797601.0
timePollAckReceived;10899601.0
timeRangeSent;10914408.0
timeINO;12833.0
timePollSent;10986802.0
timePollAckReceived;11001604.0
timePollAckReceived;11103604.0
timeRangeSent;11118411.0
timeINO;13037.0
timePollSent;11190804.0
timePollAckReceived;11205608.0
timePollAckReceived;11307612.0
timeRangeSent;11322418.0
timeINO;13241.0
timePollSent;11394811.0
timePollAckReceived;11409615.0
timePollAckReceived;11511614.0
timeRangeSent;11526421.0
timeINO;13445.0
timePollSent;11598815.0
timePollAckReceived;11613616.0
timePollAckReceived;11715616.0
timeRangeSent;11730423.0
timeINO;13649.0
timePollSent;11802820.0
timePollAckReceived;11817623.0
timePollAckReceived;11919625.0
timeRangeSent;11934433.0
timeINO;13853.0
timePollSent;12006822.0
timePollAckReceived;12021625.0
timePollAckReceived;12123625.0
timeRangeSent;12138432.0
timeINO;14057.0
timePollSent;12210827.0
timePollAckReceived;12225629.0
timePollAckReceived;12327632.0
timeRangeSent;12342440.0
timeINO;14261.0
timePollSent;12516835.0
timePollAckReceived;12531639.0
timePollAckReceived;12633639.0
timeRangeSent;12648449.0
timeINO;14567.0
timePollSent;12720838.0
timePollAckReceived;12735640.0
timePollAckReceived;12837645.0
timeRangeSent;12852453.0
timeINO;14771.0
timePollSent;12924844.0
timePollAckReceived;12939647.0
timePollAckReceived;13041650.0
timeRangeSent;13056458.0
timeINO;14975.0
timePollSent;13128848.0
timePollAckReceived;13143651.0
timePollAckReceived;13245653.0
timeRangeSent;13260461.0
timeINO;15179.0
timePollSent;13332852.0
timePollAckReceived;13347655.0
timePollAckReceived;13449658.0
timeRangeSent;13464465.0
timeINO;15383.0
timePollSent;13536856.0
timePollAckReceived;13551658.0
timePollAckReceived;13653662.0
timeRangeSent;13668471.0
timeINO;15587.0
timePollSent;13740861.0
timePollAckReceived;13755663.0
timePollAckReceived;13857664.0
timeRangeSent;13872472.0
timeINO;15791.0
timePollSent;13944865.0
timePollAckReceived;13959670.0
timePollAckReceived;14061672.0
timeRangeSent;14076480.0
timeINO;15995.0
timePollSent;14148868.0
timePollAckReceived;14163667.0
timePollAckReceived;14265673.0
timeRangeSent;14280482.0
timeINO;16199.0
timePollSent;14352874.0
timePollAckReceived;14367679.0
timePollAckReceived;14469677.0
timeRangeSent;14484486.0
timeINO;16403.0
timePollSent;14658879.0
timePollAckReceived;14673680.0
timePollAckReceived;14775685.0
timeRangeSent;14790493.0
timeINO;16709.0
timePollSent;14862886.0
timePollAckReceived;14877689.0
timePollAckReceived;14979690.0
timeRangeSent;14994497.0
timeINO;16913.0
timePollSent;15066890.0
timePollAckReceived;15081693.0
timePollAckReceived;15183696.0
timeRangeSent;15198503.0
timeINO;17117.0
timePollSent;15270894.0
timePollAckReceived;15285694.0
timePollAckReceived;15387698.0
timeRangeSent;15402508.0
timeINO;17321.0
timePollSent;15474898.0
timePollAckReceived;15489702.0
timePollAckReceived;15591703.0
timeRangeSent;15606513.0
timeINO;17525.0
timePollSent;15678902.0
timePollAckReceived;15693704.0
timePollAckReceived;15795710.0
timeRangeSent;15810518.0
timeINO;17729.0
timePollSent;15882907.0
timePollAckReceived;15897711.0
timePollAckReceived;15999709.0
timeRangeSent;16014514.0
timeINO;17933.0
timePollSent;16086912.0
timePollAckReceived;16101711.0
timePollAckReceived;16203720.0
timeRangeSent;16218528.0
timeINO;18137.0
timePollSent;16392918.0
timePollAckReceived;16407723.0
timePollAckReceived;16509721.0
timeRangeSent;16524530.0
timeINO;18443.0
timePollSent;16596924.0
timePollAckReceived;16611726.0
timePollAckReceived;16815726.0
timeRangeSent;16830536.0
timeINO;18749.0
timePollSent;16902930.0
timePollAckReceived;16917732.0
timePollAckReceived;17019734.0
timeRangeSent;17034542.0
timeINO;18953.0
timePollSent;17106934.0
timePollAckReceived;17121736.0
timePollAckReceived;16335.99
timeRangeSent;31142.17
timeINO;19157.0
timePollSent;103535.75
timePollAckReceived;118339.11
timePollAckReceived;220341.97
timeRangeSent;235149.33
timeINO;19361.0
timePollSent;307541.34
timePollAckReceived;322343.91
timePollAckReceived;424345.0
timeRangeSent;439152.0
timeINO;19565.0
timePollSent;511543.41
timePollAckReceived;526346.75
timePollAckReceived;628348.81
timeRangeSent;643154.38
timeINO;19769.0
timePollSent;715549.63
timePollAckReceived;730351.75
timePollAckReceived;832350.94
timeRangeSent;847158.5
timeINO;19973.0
timePollSent;919554.13
timePollAckReceived;934358.81
timePollAckReceived;1036355.75
timeRangeSent;1051164.5
timeINO;20177.0
timePollSent;1429562.25
timePollAckReceived;1444375.37
timePollAckReceived;1546371.37
timeRangeSent;1561178.87
timeINO;20687.0
timePollSent;1735571.0
timePollAckReceived;1750373.37
timePollAckReceived;1852374.0
timeRangeSent;1867185.0
timeINO;20993.0
timePollSent;1939575.5
timePollAckReceived;1954380.37
timePollAckReceived;2056381.12
timeRangeSent;2071192.25
timeINO;21197.0
timePollSent;2245578.5
timePollAckReceived;2260389.25
timePollAckReceived;2362387.0
timeRangeSent;2377196.0
timeINO;21503.0
timePollSent;2449587.0
timePollAckReceived;2464386.75
timePollAckReceived;2566393.0
timeRangeSent;2581202.0
timeINO;21707.0
timePollSent;2653589.75
timePollAckReceived;2668393.0
timePollAckReceived;2770397.75
timeRangeSent;2785207.0
timeINO;21911.0
timePollSent;2857594.0
timePollAckReceived;2872395.75
timePollAckReceived;2974401.0
timeRangeSent;2989209.25
timeINO;22115.0
timePollSent;3061598.5
timePollAckReceived;3076402.75
timePollAckReceived;3178401.75
timeRangeSent;3193209.5
timeINO;22319.0
timePollSent;3265604.5
timePollAckReceived;3280405.0
timePollAckReceived;3382405.75
timeRangeSent;3397212.0
timeINO;22523.0
timePollSent;3469607.0
timePollAckReceived;3484410.75
timePollAckReceived;3586412.5
timeRangeSent;3601219.5
timeINO;22727.0
timePollSent;3673613.5
timePollAckReceived;3688417.5
timePollAckReceived;3892420.5
timeRangeSent;3907228.75
timeINO;23033.0
timePollSent;3979620.5
timePollAckReceived;3994425.5
timePollAckReceived;4096423.0
timeRangeSent;4111230.0
timeINO;23237.0
timePollSent;4183623.75
timePollAckReceived;4198428.5
timePollAckReceived;4300430.0
timeRangeSent;4315238.5
timeINO;23441.0
timePollSent;4387629.0
timePollAckReceived;4402431.0
timePollAckReceived;4504429.0
timeRangeSent;4519239.0
timeINO;23645.0
timePollSent;4591631.5
timePollAckReceived;4606432.0
timePollAckReceived;4708438.5
timeRangeSent;4723246.5
timeINO;23849.0
timePollSent;4795637.5
timePollAckReceived;4810443.5
timePollAckReceived;4912443.0
timeRangeSent;4927249.5
timeINO;24053.0
timePollSent;4999640.5
timePollAckReceived;5014442.0
timePollAckReceived;5116445.0
timeRangeSent;5131253.5
timeINO;24257.0
timePollSent;5203646.5
timePollAckReceived;5218448.0
timePollAckReceived;5320450.5
timeRangeSent;5335259.0
timeINO;24461.0
timePollSent;5407649.0
timePollAckReceived;5422452.0
timePollAckReceived;5524454.5
timeRangeSent;5539262.0
timeINO;24665.0
timePollSent;5611653.0
timePollAckReceived;5626454.5
timePollAckReceived;5728458.0
timeRangeSent;5743263.5
timeINO;24869.0
timePollSent;5815659.5
timePollAckReceived;5830463.5
timePollAckReceived;6034466.0
timeRangeSent;6049273.5
timeINO;25175.0
timePollSent;6121666.5
timePollAckReceived;6136466.5
timePollAckReceived;6238469.5
timeRangeSent;6253276.5
timeINO;25379.0
timePollSent;6325668.5
timePollAckReceived;6340471.5
timePollAckReceived;6442476.5
timeRangeSent;6457284.5
timeINO;25583.0
timePollSent;6529673.0
timePollAckReceived;6544475.0
timePollAckReceived;6646478.5
timeRangeSent;6661286.5
timeINO;25787.0
timePollSent;6733677.5
timePollAckReceived;6748479.0
timePollAckReceived;6850484.0
timeRangeSent;6865290.5
timeINO;25991.0
timePollSent;6937683.5
timePollAckReceived;6952486.0
timePollAckReceived;7054489.0
timeRangeSent;7069298.5
timeINO;26195.0
timePollSent;7141687.5
timePollAckReceived;7156491.0
timePollAckReceived;7258493.5
timeRangeSent;7273302.0
timeINO;26399.0
timePollSent;7345690.5
timePollAckReceived;7360495.0
timePollAckReceived;7462499.0
timeRangeSent;7477307.5
timeINO;26603.0
timePollSent;7549697.0
timePollAckReceived;7564500.0
timePollAckReceived;7666501.5
timeRangeSent;7681308.5
timeINO;26807.0
timePollSent;7753701.0
timePollAckReceived;7768505.0
timePollAckReceived;7870509.5
timeRangeSent;7885317.5
timeINO;27011.0
timePollSent;7957704.0
timePollAckReceived;7972510.5
timePollAckReceived;8176517.5
timeRangeSent;8191325.0
timeINO;27317.0
timePollSent;8263710.0
timePollAckReceived;8278514.5
timePollAckReceived;8380518.5
timeRangeSent;8395326.0
timeINO;27521.0
timePollSent;8467715.0
timePollAckReceived;8482516.0
timePollAckReceived;8584523.0
timeRangeSent;8599332.0
timeINO;27725.0
timePollSent;8671719.0
timePollAckReceived;8686523.0
timePollAckReceived;8788522.0
timeRangeSent;8803329.0
timeINO;27929.0
timePollSent;8875724.0
timePollAckReceived;8890526.0
timePollAckReceived;8992528.0
timeRangeSent;9007334.0
timeINO;28133.0
timePollSent;9079729.0
timePollAckReceived;9094530.0
timePollAckReceived;9196533.0
timeRangeSent;9211342.0
timeINO;28337.0
timePollSent;9283734.0
timePollAckReceived;9298536.0
timePollAckReceived;9400539.0
timeRangeSent;9415349.0
timeINO;28541.0
timePollSent;9487739.0
timePollAckReceived;9502540.0
timePollAckReceived;9604543.0
timeRangeSent;9619350.0
timeINO;28745.0
timePollSent;9691741.0
timePollAckReceived;9706543.0
timePollAckReceived;9808549.0
timeRangeSent;9823359.0
timeINO;28949.0
timePollSent;9895748.0
timePollAckReceived;9910552.0
timePollAckReceived;10012553.0
timeRangeSent;10027361.0
timeINO;29153.0
timePollSent;10099750.0
timePollAckReceived;10114553.0
timePollAckReceived;10318563.0
timeRangeSent;10333371.0
timeINO;29459.0
timePollSent;10405756.0
timePollAckReceived;10420563.0
timePollAckReceived;10522567.0
timeRangeSent;10537374.0
timeINO;29663.0
timePollSent;10609762.0
timePollAckReceived;10624569.0
timePollAckReceived;10726571.0
timeRangeSent;10741377.0
timeINO;29867.0
timePollSent;10813768.0
timePollAckReceived;10828571.0
timePollAckReceived;11032578.0
timeRangeSent;11047385.0
timeINO;30173.0
timePollSent;11119774.0
timePollAckReceived;11134580.0
timePollAckReceived;11236581.0
timeRangeSent;11251387.0
timeINO;30377.0
timePollSent;11323779.0
timePollAckReceived;11338585.0
timePollAckReceived;11440586.0
timeRangeSent;11455397.0
timeINO;30581.0
timePollSent;11527780.0
timePollAckReceived;11542582.0
timePollAckReceived;11644585.0
timeRangeSent;11659393.0
timeINO;30785.0
timePollSent;11731787.0
timePollAckReceived;11746588.0
timePollAckReceived;11848590.0
timeRangeSent;11863398.0
timeINO;30989.0
timePollSent;11935789.0
timePollAckReceived;11950595.0
timePollAckReceived;12052596.0
timeRangeSent;12067404.0
timeINO;31193.0
timePollSent;12139796.0
timePollAckReceived;12154598.0
timePollAckReceived;12256599.0
timeRangeSent;12271406.0
timeINO;31397.0
timePollSent;12445803.0
timePollAckReceived;12460607.0
timePollAckReceived;12562611.0
timeRangeSent;12577419.0
timeINO;31703.0
timePollSent;12649807.0
timePollAckReceived;12664609.0
timePollAckReceived;12766612.0
timeRangeSent;12781421.0
timeINO;31907.0
